92.5492 	EXP 	New trial (rep=0, index=11): OrderedDict([('imgpath', '9.jpg'), ('corrans', ['3'])])
92.5617 	DATA 	Keypress: 2
92.5773 	EXP 	key: autoDraw = False
92.5773 	EXP 	symbol: autoDraw = False
92.5773 	EXP 	key: size = array([794, 173])
92.5773 	EXP 	key: image = 'images/key.JPG'
92.5773 	EXP 	symbol: size = array([109,  93])
92.5773 	EXP 	symbol: image = '9.jpg'
92.5773 	EXP 	key: autoDraw = True
92.5773 	EXP 	symbol: autoDraw = True
93.5647 	EXP 	New trial (rep=0, index=12): OrderedDict([('imgpath', '2.jpg'), ('corrans', ['2'])])
93.5804 	DATA 	Keypress: 3
93.5960 	EXP 	key: autoDraw = False
93.5960 	EXP 	symbol: autoDraw = False
93.5960 	EXP 	key: size = array([794, 173])
93.5960 	EXP 	key: image = 'images/key.JPG'
93.5960 	EXP 	symbol: size = array([114, 110])
93.5960 	EXP 	symbol: image = '2.jpg'
93.5960 	EXP 	key: autoDraw = True
93.5960 	EXP 	symbol: autoDraw = True
94.5335 	EXP 	New trial (rep=0, index=13): OrderedDict([('imgpath', '8.jpg'), ('corrans', ['2'])])
94.5498 	DATA 	Keypress: 2
94.5655 	EXP 	key: autoDraw = False
94.5655 	EXP 	symbol: autoDraw = False
94.5655 	EXP 	key: size = array([794, 173])
94.5655 	EXP 	key: image = 'images/key.JPG'
94.5655 	EXP 	symbol: size = array([105, 109])
94.5655 	EXP 	symbol: image = '8.jpg'
94.5655 	EXP 	key: autoDraw = True
94.5655 	EXP 	symbol: autoDraw = True
95.6007 	EXP 	New trial (rep=0, index=14): OrderedDict([('imgpath', '3.jpg'), ('corrans', ['3'])])
95.6127 	DATA 	Keypress: 2
95.6279 	EXP 	key: autoDraw = False
95.6279 	EXP 	symbol: autoDraw = False
95.6279 	EXP 	key: size = array([794, 173])
95.6279 	EXP 	key: image = 'images/key.JPG'
95.6279 	EXP 	symbol: size = array([114, 105])
95.6279 	EXP 	symbol: image = '3.jpg'
95.6279 	EXP 	key: autoDraw = True
95.6279 	EXP 	symbol: autoDraw = True
96.6780 	DATA 	Keypress: 3
96.6984 	EXP 	New trial (rep=0, index=15): OrderedDict([('imgpath', '1.jpg'), ('corrans', ['1'])])
96.7280 	EXP 	key: autoDraw = False
96.7280 	EXP 	symbol: autoDraw = False
96.7280 	EXP 	key: size = array([794, 173])
96.7280 	EXP 	key: image = 'images/key.JPG'
96.7280 	EXP 	symbol: size = array([111, 111])
96.7280 	EXP 	symbol: image = '1.jpg'
96.7280 	EXP 	key: autoDraw = True
96.7280 	EXP 	symbol: autoDraw = True
97.4558 	EXP 	New trial (rep=0, index=16): OrderedDict([('imgpath', '4.jpg'), ('corrans', ['1'])])
97.4728 	DATA 	Keypress: 1
97.4885 	EXP 	key: autoDraw = False
97.4885 	EXP 	symbol: autoDraw = False
97.4885 	EXP 	key: size = array([794, 173])
97.4885 	EXP 	key: image = 'images/key.JPG'
97.4885 	EXP 	symbol: size = array([111, 108])
97.4885 	EXP 	symbol: image = '4.jpg'
97.4885 	EXP 	key: autoDraw = True
